crop_id,crop_name,crop_category,season_kharif,season_rabi,soil_black,soil_red,soil_alluvial,rainfall_min_mm,rainfall_max_mm,water_requirement_level,irrigation_required,avg_yield_quintal_per_acre,seed_cost_per_acre,fertilizer_cost_per_acre,pesticide_cost_per_acre,labor_cost_per_acre,irrigation_cost_per_acre,machinery_cost_per_acre,misc_cost_per_acre,pest_risk_level,drought_sensitivity_level,price_volatility_level,market_demand_level,total_cost_per_acre
1,Ragi,Cereal,1,0,0,1,0,400,900,1,0,12,2200,5000,2000,8000,3000,2500,2000,1,1,2,3,24700
2,Paddy,Cereal,1,0,0,1,1,900,1500,3,1,22,3200,12000,6000,15000,12000,5000,4000,2,3,2,3,57200
3,Maize,Cereal,1,1,1,1,1,500,900,2,0,18,2500,8000,3500,10000,6000,3500,2500,2,2,2,3,36000
4,Jowar,Cereal,1,0,1,1,0,400,700,1,0,10,2000,4500,2000,8000,3000,2500,2000,1,1,2,2,24000
5,Wheat,Cereal,0,1,1,1,1,400,800,2,1,15,2500,9000,4000,12000,8000,4000,3000,1,2,1,2,42500
6,Bajra,Cereal,1,0,0,1,0,300,600,1,0,9,1800,4000,1800,7000,2500,2000,1500,1,1,2,2,20600
7,Tur Dal,Pulse,1,0,0,1,1,600,1000,2,0,7,2500,6000,2500,8000,3500,3000,2000,2,2,2,3,27500
8,Green Gram,Pulse,1,0,0,1,1,400,700,1,0,6,2000,4500,1800,7000,2500,2000,1500,1,1,2,2,21300
9,Black Gram,Pulse,1,0,0,1,1,400,700,1,0,6,2100,4800,2000,7200,2600,2200,1600,1,1,2,2,22500
10,Chickpea,Pulse,0,1,1,1,1,300,600,1,0,6,2200,5000,2000,7500,3000,2500,1800,1,1,1,2,24000
11,Horse Gram,Pulse,1,0,0,1,0,300,600,1,0,5,1500,3500,1500,6000,2000,1800,1200,1,1,1,2,17500
12,Groundnut,Oilseed,1,0,0,1,1,400,700,1,0,9,3500,7000,3000,9000,4000,3000,2000,2,1,2,3,31500
13,Sunflower,Oilseed,1,0,1,1,1,500,900,2,0,8,2800,6500,3000,8500,4000,3000,2200,2,2,2,2,30000
14,Soybean,Oilseed,1,0,1,1,1,600,1000,2,0,11,3000,8000,3500,9500,4500,3500,2500,2,2,2,3,34500
15,Mustard,Oilseed,0,1,1,1,1,300,600,1,0,7,2500,6000,2500,8000,3500,2800,2000,1,1,2,2,27300
16,Sesame,Oilseed,1,0,0,1,1,400,700,1,0,6,2200,5000,2000,7500,3000,2500,1800,1,1,2,2,24000
17,Cotton,CashCrop,1,0,1,0,0,500,800,2,1,7,6000,14000,8000,12000,10000,5000,3000,3,2,3,3,58000
18,Sugarcane,CashCrop,1,1,1,1,1,1000,1500,3,1,35,8000,18000,9000,20000,15000,8000,5000,2,3,2,3,83000
19,Arecanut,Plantation,1,1,0,1,1,1500,3000,3,1,20,12000,20000,10000,25000,15000,10000,6000,2,3,2,3,98000
20,Coconut,Plantation,1,1,0,1,1,1000,2500,3,1,30,10000,18000,9000,22000,14000,9000,5000,2,3,2,3,87000
21,Onion,Vegetable,1,1,1,1,1,500,800,2,1,110,5000,15000,6000,18000,10000,6000,4000,2,2,3,3,64000
22,Tomato,Vegetable,1,1,1,1,1,600,900,2,1,140,6000,16000,7000,20000,12000,7000,5000,3,2,3,3,73000
23,Potato,Vegetable,0,1,1,1,1,500,800,2,1,95,5500,14000,6000,18000,10000,6000,4000,2,2,2,3,63500
24,Chilli,Vegetable,1,1,1,1,1,600,900,2,1,55,6000,16000,8000,20000,12000,7000,5000,3,2,3,3,74000
25,Brinjal,Vegetable,1,1,1,1,1,500,800,2,1,120,5000,15000,6000,19000,11000,6500,4500,2,2,3,2,67000
26,Cabbage,Vegetable,0,1,1,1,1,400,700,2,1,100,4000,12000,5000,16000,9000,5000,3500,1,2,2,2,54500
27,Cauliflower,Vegetable,0,1,1,1,1,400,700,2,1,95,4500,13000,5500,17000,9500,5500,3800,1,2,2,2,58800
28,Turmeric,Spice,1,0,1,1,1,800,1200,2,1,22,7000,15000,7000,18000,11000,6000,4500,2,2,2,3,68500
29,Ginger,Spice,1,0,1,1,1,1000,2000,3,1,25,9000,17000,8000,20000,12000,7000,5000,2,3,2,3,78000
30,Banana,Fruit,1,1,1,1,1,1000,2000,3,1,280,10000,20000,10000,25000,15000,10000,6000,2,3,2,3,96000
31,Papaya,Fruit,1,1,1,1,1,800,1500,3,1,220,9000,18000,9000,22000,14000,9000,5500,2,3,2,3,86500
32,Mango,Fruit,1,1,0,1,1,700,1500,2,1,50,8000,15000,8000,20000,12000,8000,5000,2,2,2,3,76000
33,Sapota,Fruit,1,1,0,1,1,800,1500,2,1,60,8500,16000,8500,21000,13000,8500,5200,2,2,2,2,80700
34,Grapes,Fruit,0,1,1,1,1,500,800,2,1,80,12000,22000,10000,25000,15000,12000,8000,3,2,3,3,104000
35,Pomegranate,Fruit,1,1,1,1,1,400,800,2,1,70,10000,20000,9000,23000,14000,10000,7000,3,2,3,3,93000
